Author: file,date
Andy Barber: app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_36dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxxhdpi/ic_lock_open_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable/pint_glass.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/layout/activity_main.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/layout/content_main.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/menu/menu_main.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/mipmap-hdpi/ic_launcher.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/mipmap-mdpi/ic_launcher.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/mipmap-xhdpi/ic_launcher.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/mipmap-xxhdpi/ic_launcher.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/values-w820dp/dimens.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/values/attrs.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/values/colors.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/values/dimens.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/values/strings.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/values/styles.xml,2016-07-01T14:40:45Z
Mohammed Ezzat: app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2016-03-16T14:14:44Z
Scott Alexander-Bown: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,2015-06-26T15:50:40Z
Mohammed Ezzat: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2016-03-15T13:13:43Z
Mohammed Ezzat: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2016-03-15T13:13:43Z
Mohammed Ezzat: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,2016-03-15T13:13:43Z
Mohammed Ezzat: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,2016-03-15T13:13:43Z
biddster: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2016-03-07T14:21:36Z
biddster: rootbeerlib/src/main/jniLibs/mips64/libtool-checker.so,2016-03-07T14:21:36Z
biddster: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2016-03-07T14:21:36Z
Alessandro Yuichi Okimoto: rootbeerlib/src/main/AndroidManifest.xml,2015-10-06T08:56:57Z
Alessandro Yuichi Okimoto: app/src/main/AndroidManifest.xml,2015-10-01T12:26:13Z
Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/armeabi/libtool-checker.so,2015-06-30T14:14:20Z
Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/mips/libtool-checker.so,2015-06-30T14:14:20Z
Scott Alexander-Bown: app/src/main/res/drawable-hdpi/ic_action_github.png,2015-06-29T13:06:14Z
Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_action_github.png,2015-06-29T13:06:14Z
